time	V(vout)
Step Information: Run=0  (Run: 1/8)
4.021378731488166e+000	3.297065e+000
4.021380401387706e+000	3.296933e+000
4.021383741186789e+000	3.296541e+000
4.021384345249459e+000	3.296450e+000
4.021385553374795e+000	3.296192e+000
4.021387969625469e+000	3.295517e+000
4.021388473586924e+000	3.295312e+000
4.021389481509832e+000	3.294687e+000
4.021390736594849e+000	3.293519e+000
4.021391421909321e+000	3.292466e+000
4.021391928111413e+000	3.291194e+000
4.021392327778813e+000	3.289614e+000
4.021392643207150e+000	3.287644e+000
4.021392905200088e+000	3.285030e+000
4.021393124337092e+000	3.281427e+000
4.021393323249228e+000	3.275863e+000
4.021393492126219e+000	3.267580e+000
4.021393636770508e+000	3.254975e+000
4.021393764200894e+000	3.235272e+000
4.021393887065873e+000	3.201573e+000
4.021394020621838e+000	3.140045e+000
4.021394151239687e+000	3.045883e+000
4.021394335948759e+000	2.864639e+000
4.021394527216074e+000	2.643101e+000
4.021394759197872e+000	2.354198e+000
4.021395043257357e+000	1.993230e+000
4.021395604047587e+000	1.278357e+000
4.021396180763848e+000	5.487983e-001
4.021396456878367e+000	2.136110e-001
4.021396599747060e+000	6.271787e-002
4.021396652331855e+000	2.472346e-002
4.021396681966099e+000	1.354189e-002
4.021396700217196e+000	9.947339e-003
4.021396718733996e+000	7.760849e-003
4.021396740347885e+000	6.080042e-003
4.021396761410450e+000	5.010373e-003
4.021396794646041e+000	3.926181e-003
4.021396824867900e+000	3.299450e-003
4.021396877959194e+000	2.633700e-003
4.021396927434193e+000	2.255410e-003
4.021397020090795e+000	1.852418e-003
4.021397111293656e+000	1.623103e-003
4.021397289020559e+000	1.387144e-003
4.021397483937982e+000	1.248102e-003
4.021397873772827e+000	1.119340e-003
4.021398532300736e+000	1.022988e-003
4.021399849356559e+000	9.524761e-004
4.021402483468201e+000	9.070321e-004
4.021407751691488e+000	8.825894e-004
4.021418288138058e+000	8.723143e-004
4.021439361031202e+000	8.697978e-004
4.064554500403808e+000	8.692133e-004
4.104554500403808e+000	8.687601e-004
4.144554500403807e+000	8.683429e-004
4.184554500403806e+000	8.679628e-004
4.224554500403805e+000	8.676181e-004
4.264554500403804e+000	8.673139e-004
